Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
7_Video_01;14;00:00:00;00:00:02;locationstay;map,forest,chapter
7_Video_01;14;00:00:02;00:00:06;mainmenu;stage,menu
7_Video_01;14;00:00:06;00:00:13;locationstay;map,forest,chapter
7_Video_01;14;00:00:13;00:00:17;mainmenu;stage,menu
7_Video_01;14;00:00:17;00:00:17;interaction;stage,menu,start
7_Video_01;14;00:00:17;00:00:21;loadingscreen;load,stage
7_Video_01;14;00:00:21;00:00:22;locationstay;stage,gameplay,forest
7_Video_01;14;00:00:22;00:00:23;dialog;information,player,turn
7_Video_01;14;00:00:23;00:00:53;locationstay;stage,gameplay,player,forest
7_Video_01;14;00:00:53;00:00:54;dialog;information,enemy,turn,red
7_Video_01;14;00:00:54;00:00:58;locationstay;stage,gameplay,enemy,forest,trees
7_Video_01;14;00:00:58;00:00:59;dialog;information,player,turn,blue
7_Video_01;14;00:00:59;00:01:18;locationstay;stage,gameplay,player,forest
7_Video_01;14;00:01:18;00:01:19;dialog;information,enemy,turn,red
7_Video_01;14;00:01:19;00:01:24;locationstay;stage,gameplay,enemy,forest,trees
7_Video_01;14;00:01:24;00:01:25;dialog;information,player,turn,blue
7_Video_01;14;00:01:25;00:01:45;locationstay;stage,gameplay,player,forest
7_Video_01;14;00:01:45;00:01:51;dialog;information,victory,blue
7_Video_01;14;00:01:45;00:01:51;mainmenu;rewards,share,link,back,lobby
7_Video_01;14;00:01:51;00:01:51;interaction;back,to,lobby
7_Video_01;14;00:01:51;00:01:53;loadingscreen;load,lobby
7_Video_01;14;00:01:53;00:01:53;mainmenu;menu,play
7_Video_01;14;00:01:53;00:02:02;locationstay;map,forest,chapter
7_Video_01;14;00:02:02;00:02:04;mainmenu;stage,menu
7_Video_01;14;00:02:04;00:02:07;locationstay;map,forest,chapter
7_Video_01;14;00:02:07;00:02:09;mainmenu;stage,menu
7_Video_01;14;00:02:09;00:02:09;interaction;stage,menu,start
7_Video_01;14;00:02:09;00:02:11;loadingscreen;load,stage
7_Video_01;14;00:02:11;00:02:12;locationstay;stage,gameplay,forest,water
7_Video_01;14;00:02:12;00:02:13;dialog;information,player,turn,blue
7_Video_01;14;00:02:13;00:02:34;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:02:34;00:02:35;dialog;information,enemy,turn,red
7_Video_01;14;00:02:35;00:02:41;locationstay;stage,gameplay,forest,water,enemy,trees
7_Video_01;14;00:02:41;00:02:42;dialog;information,player,turn,blue
7_Video_01;14;00:02:42;00:03:08;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:03:08;00:03:09;dialog;information,enemy,turn,red
7_Video_01;14;00:03:09;00:03:21;locationstay;stage,gameplay,forest,water,enemy,trees
7_Video_01;14;00:03:21;00:03:22;dialog;information,player,turn,blue
7_Video_01;14;00:03:22;00:03:44;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:03:44;00:03:45;dialog;information,enemy,turn,red
7_Video_01;14;00:03:45;00:03:49;locationstay;stage,gameplay,forest,water,enemy,trees
7_Video_01;14;00:03:49;00:03:50;dialog;information,player,turn,blue
7_Video_01;14;00:03:50;00:04:10;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:04:10;00:04:11;dialog;information,enemy,turn,red
7_Video_01;14;00:04:11;00:04:20;locationstay;stage,gameplay,forest,water,enemy,trees
7_Video_01;14;00:04:20;00:04:21;dialog;information,player,turn,blue
7_Video_01;14;00:04:21;00:04:48;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:04:48;00:04:49;dialog;information,enemy,turn,red
7_Video_01;14;00:04:49;00:04:57;locationstay;stage,gameplay,forest,water,enemy,trees
7_Video_01;14;00:04:57;00:04:58;dialog;information,player,turn,blue,plus,energy
7_Video_01;14;00:04:58;00:05:01;locationstay;stage,gameplay,forest,water,player
7_Video_01;14;00:00:33;00:00:34;dialog;select,target,fighter
7_Video_01;14;00:00:41;00:00:44;teleport;move,next,enemy
7_Video_01;14;00:00:47;00:00:48;dialog;select,target,fighter
7_Video_01;14;00:00:53;00:00:53;interaction;end,turn
7_Video_01;14;00:01:04;00:01:05;dialog;select,target,fighter
7_Video_01;14;00:01:17;00:00:17;interaction;end,turn
7_Video_01;14;00:01:32;00:01:33;dialog;select,target,fighter
7_Video_01;14;00:02:29;00:02:30;dialog;select,target,fighter
7_Video_01;14;00:02:33;00:02:33;interaction;end,turn
7_Video_01;14;00:02:48;00:02:49;dialog;select,target,fighter
7_Video_01;14;00:03:03;00:03:04;dialog;select,target,fighter
7_Video_01;14;00:02:57;00:03:00;teleport;move,next,enemy
7_Video_01;14;00:03:07;00:03:07;interaction;end,turn
7_Video_01;14;00:03:27;00:03:28;dialog;select,target,fighter
7_Video_01;14;00:03:44;00:03:44;interaction;end,turn
7_Video_01;14;00:04:09;00:04:09;interaction;end,turn
7_Video_01;14;00:04:30;00:04:33;teleport;move,next,enemy
7_Video_01;14;00:04:35;00:04:36;dialog;select,target,fighter
7_Video_01;14;00:04:47;00:04:47;interaction;end,turn
7_Video_02;14;00:00:00;00:00:20;locationstay;stage,gameplay,player,forest
7_Video_02;14;00:00:20;00:00:21;dialog;select,target,fighter
7_Video_02;14;00:00:21;00:00:31;locationstay;stage,gameplay,player,forest
7_Video_02;14;00:00:31;00:00:31;interaction;end,turn
7_Video_02;14;00:00:31;00:00:33;dialog;information,enemy,turn,red
7_Video_02;14;00:00:33;00:00:39;locationstay;stage,gameplay,enemy,forest
7_Video_02;14;00:00:39;00:00:41;dialog;information,player,turn,blue
7_Video_02;14;00:00:41;00:00:51;locationstay;stage,gameplay,player,forest
