Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
4_Video_1;21;00:00:00;00:00:02;locationstay;
4_Video_1;21;00:00:02;00:00:05;interaction;npc, menu, talk
4_Video_1;21;00:00:05;00:00:10;interaction;npc, menu, talk
4_Video_1;21;00:00:10;00:00:59;interaction;walk
4_Video_1;21;00:00:59;00:01:01;interaction;mail
4_Video_2;21;00:00:00;00:00:04;interaction;walk
4_Video_2;21;00:00:04;00:00:06;interaction;npc,trade,talk
4_Video_2;21;00:00:06;00:00:10;locationstay;
4_Video_2;21;00:00:10;00:00:12;interaction;walk
4_Video_2;21;00:00:12;00:00:23;loadingscreen;ruhestein
4_Video_2;21;00:00:23;00:00:50;loadingscreen;teleport
4_Video_2;21;00:00:50;00:00:53;locationstay;
4_Video_2;21;00:00:53;00:01:02;interaction;walk
4_Video_3;21;00:00:00;00:00:04;locationstay;
4_Video_3;21;00:00:04;00:00:05;interaction;mail
4_Video_3;21;00:00:05;00:00:08;dialog;buy
4_Video_3;21;00:00:08;00:00:24;interaction;walk,
4_Video_3;21;00:00:24;00:00:29;dialog;npc,talk
4_Video_3;21;00:00:29;00:00:31;interaction;walk
4_Video_3;21;00:00:31;00:00:34;teleport;
4_Video_3;21;00:00:34;00:00:40;interaction;walk
4_Video_3;21;00:00:40;00:00:43;teleport;
4_Video_3;21;00:00:43;00:00:50;interaction;walk
4_Video_3;21;00:00:50;00:00:52;dialog;npc
4_Video_3;21;00:00:52;00:01:01;interaction;walk
4_Video_4;21;00:00:00;00:00:03;interaction;ride,bear
4_Video_4;21;00:00:03;00:00:06;locationstay;
4_Video_4;21;00:00:06;00:00:10;dialog;npc
4_Video_4;21;00:00:10;00:00:11;locationstay;
4_Video_4;21;00:00:11;00:00:19;dialog;npc
4_Video_4;21;00:00:18;00:00:36;interaction;leather,menu
4_Video_4;21;00:00:36;00:00:38;locationstay;
4_Video_4;21;00:00:38;00:00:46;dialog;trade,npc
4_Video_4;21;00:00:46;00:00:49;locationstay;
4_Video_5;21;00:00:00;00:00:09;interaction;walk,dragon
4_Video_5;21;00:00:01;00:00:07;interaction;map
4_Video_5;21;00:00:09;00:00:20;interaction;fly,dragon
4_Video_5;21;00:00:20;00:00:21;interaction;walk,dragon
4_Video_5;21;00:00:21;00:00:26;interaction;walk
4_Video_5;21;00:00:26;00:00:32;dialog;npc,trade
4_Video_5;21;00:00:32;00:00:34;interaction;walk
4_Video_6;21;00:00:00;00:00:07;interaction;walk,bear
4_Video_6;21;00:00:07;00:00:11;dialog;npc,trade
4_Video_6;21;00:00:11;00:00:17;interaction;walk,bear
4_Video_6;21;00:00:17;00:00:17;interaction;bear,change,dragon
4_Video_6;21;00:00:17;00:00:22;interaction;walk,dragon
4_Video_6;21;00:00:22;00:00:31;interaction;fly,dragon
4_Video_6;21;00:00:31;00:00:44;locationstay;
4_Video_6;21;00:00:35;00:00:44;loadingscreen;ruhestein
4_Video_6;21;00:00:44;00:01:02;loadingscreen;teleport
4_Video_6;21;00:01:02;00:01:05;locationstay;
4_Video_7;21;00:00:00;00:00:08;interaction;walk
4_Video_7;21;00:00:08;00:00:09;locationstay;
