Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
10_Video_01;24;00:00:00;00:00:07;locationstay;waiting,walking
10_Video_01;24;00:00:08;00:00:15;interaction;dancing
10_Video_01;24;00:00:16;00:00:20;locationstay;waiting,looking
10_Video_01;24;00:00:21;00:00:27;interaction;greeting
10_Video_01;24;00:00:28;00:00:33;locationstay;waiting,walking
10_Video_01;24;00:00:34;00:00:43;teleport;flying
10_Video_01;24;00:00:44;00:00:55;interaction;falling
10_Video_01;24;00:00:56;00:01:05;interaction;skydiving
10_Video_01;24;00:01:06;00:01:11;interaction;falling
10_Video_01;24;00:01:12;00:01:27;interaction;skydiving,landing
10_Video_01;24;00:01:28;00:01:57;interaction;running,jumping,collecting
10_Video_01;24;00:01:58;00:02:01;locationstay;drinking
10_Video_01;24;00:02:02;00:02:06;interaction;running
10_Video_01;24;00:02:07;00:02:14;interaction;swimming
10_Video_01;24;00:02:15;00:02:38;interaction;running
10_Video_01;24;00:02:39;00:02:41;locationstay;uncertainty
10_Video_01;24;00:02:42;00:02:57;interaction;running,jumping,collecting
10_Video_01;24;00:02:58;00:03:06;interaction;escape,shoot
10_Video_02;24;00:00:00;00:00:13;locationstay;waiting,looking
10_Video_02;24;00:00:14;00:00:34;interaction;dancing
10_Video_02;24;00:00:35;00:00:38;locationstay;waiting,walking
10_Video_02;24;00:00:39;00:00:54;teleport;flying
10_Video_03;24;00:00:00;00:00:14;interaction;running,exploring,collecting
10_Video_03;24;00:00:15;00:00:20;locationstay;drinking
10_Video_03;24;00:00:21;00:00:22;interaction;running
10_Video_04;24;00:00:00;00:00:09;interaction;running,sliding
10_Video_04;24;00:00:10;00:00:18;locationstay;house,collecting
10_Video_04;24;00:00:19;00:00:24;interaction;running
10_Video_05;24;00:00:00;00:00:15;locationstay;waiting,walking
10_Video_05;24;00:00:16;00:00:23;interaction;dancing
10_Video_05;24;00:00:24;00:00:26;locationstay;waiting,walking
10_Video_05;24;00:00:27;00:00:32;interaction;running
10_Video_05;24;00:00:33;00:00:46;teleport;flying
10_Video_05;24;00:00:47;00:01:10;interaction;falling
10_Video_05;24;00:01:11;00:01:15;interaction;skydiving
10_Video_06;24;00:00:00;00:00:04;locationstay;walking
10_Video_06;24;00:00:05;00:00:09;mainmenu;menu
10_Video_06;24;00:00:10;00:00:11;locationstay;walking
10_Video_06;24;00:00:12;00:00:14;loadingscreen;waiting
10_Video_06;24;00:00:15;00:00:22;interaction;falling
10_Video_06;24;00:00:23;00:00:27;interaction;skydiving,landing
10_Video_06;24;00:00:28;00:00:37;interaction;running
10_Video_06;24;00:00:38;00:00:41;locationstay;house
10_Video_06;24;00:00:42;00:01:01;interaction;running,sliding
10_Video_06;24;00:01:02;00:01:20;interaction;build
10_Video_07;24;00:00:00;00:00:01;interaction;running
10_Video_07;24;00:00:02;00:00:25;interaction;driving,car
10_Video_07;24;00:00:26;00:00:35;interaction;jumping
10_Video_07;24;00:00:36;00:00:39;locationstay;collect
10_Video_07;24;00:00:40;00:00:44;interaction;driving,car
10_Video_07;24;00:00:45;00:00:46;locationstay;walking
10_Video_08;24;00:00:00;00:00:06;locationstay;walking
10_Video_08;24;00:00:07;00:00:57;interaction;driving,motorbike,escape
10_Video_08;24;00:00:58;00:01:03;interaction;running,collecting
10_Video_08;24;00:01:04;00:01:14;locationstay;house,collecting
10_Video_08;24;00:01:15;00:01:23;locationstay;drinking
10_Video_08;24;00:01:24;00:01:30;locationstay;settings
10_Video_08;24;00:01:31;00:01:35;locationstay;walking,collecting
10_Video_09;24;00:00:00;00:00:02;interaction;running
