Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
1_Video_1;19;00:00:00;00:00:09;locationstay;inside,building
1_Video_1;19;00:00:00;00:00:02;interaction;receiving daily prices
1_Video_1;19;00:00:08;00:00:09;interaction;leaving,house
1_Video_1;19;00:00:09;00:00:11;loadingscreen;leaving,house
1_Video_1;19;00:00:12;00:00:45;locationstay;neighborhood
1_Video_1;19;00:00:13;00:00:19;dialog;cat,text
1_Video_1;19;00:00:22;00:00:28;interaction;jumping
1_Video_1;19;00:00:33;00:00:34;mainmenu;modal,friendrequest
1_Video_1;19;00:00:34;00:00:34;interaction;denying,friendrequest
1_Video_1;19;00:00:40;00:00:45;dialog;talking,avatar
1_Video_1;19;00:00:45;00:00:47;loadingscreen;leaving,neighborhood
1_Video_1;19;00:00:48;00:00:50;locationstay;road
1_Video_1;19;00:00:48;00:00:50;dialog;talking,avatar
1_Video_2;19;00:00:00;00:00:17;locationstay;uncertainty
1_Video_2;19;00:00:00;00:00:03;dialog;talking,avatar
1_Video_2;19;00:00:04;00:00:06;interaction;jumping
1_Video_2;19;00:00:17;00:00:18;loadingscreen;entering,house
1_Video_2;19;00:00:18;00:01:02;locationstay;cave
1_Video_2;19;00:00:27;00:00:30;mainmenu;modal,backpack
1_Video_2;19;00:00:28;00:00:28;interaction;storing,cat
1_Video_2;19;00:00:30;00:00:50;interaction;moving
1_Video_2;19;00:00:54;00:01:05;interaction;moving
1_Video_2;19;00:01:03;00:01:05;loadingscreen;leaving,cave
1_Video_2;19;01:05:00;01:10:00;locationstay;uncertainty
1_Video_3;19;00:00:00;00:00:59;locationstay;market
1_Video_3;19;00:00:03;00:00:03;interaction;clicking,item
1_Video_3;19;00:00:04;00:00:04;loadingscreen;item
1_Video_3;19;00:00:04;00:00:12;mainmenu;shopping
1_Video_3;19;00:00:06;00:00:06;interaction;clicking,next,item
1_Video_3;19;00:00:08;00:00:08;interaction;clicking,next,item
1_Video_3;19;00:00:10;00:00:10;interaction;clicking,previous,item
1_Video_3;19;00:00:12;00:00:12;interaction;clicking,buy,item
1_Video_3;19;00:00:13;00:00:13;mainmenu;modal,buying,item
1_Video_3;19;00:00:14;00:00:14;interaction;buying,item
1_Video_3;19;00:00:15;00:00:15;mainmenu;modal,buying,item,successful
1_Video_3;19;00:00:15;00:00:15;interaction;clicking
1_Video_3;19;00:00:16;00:00:16;interaction;clicking,cancel
1_Video_3;19;00:00:18;00:00:21;mainmenu;modal,backpack
1_Video_3;19;00:00:19;00:00:19;interaction;clicking,pets
1_Video_3;19;00:00:20;00:00:20;interaction;clicking,cat
1_Video_3;19;00:00:20;00:00:21;interaction;clicking,cat,show
1_Video_3;19;00:00:26;00:00:26;interaction;clicking,cat,wardrobe
1_Video_3;19;00:00:27;00:00:44;mainmenu;wardrobe
1_Video_3;19;00:00:31;00:00:31;interaction;clicking,item,cap
1_Video_3;19;00:00:32;00:00:32;interaction;clicking,menu,item,glasses
1_Video_3;19;00:00:33;00:00:33;interaction;clicking,menu,item,ring
1_Video_3;19;00:00:33;00:00:33;interaction;clicking,menu,item,tie
1_Video_3;19;00:00:34;00:00:34;interaction;clicking,menu,item,ring
1_Video_3;19;00:00:34;00:00:34;interaction;clicking,item,cowbell
1_Video_3;19;00:00:35;00:00:35;interaction;clicking,menu,item,tie
1_Video_3;19;00:00:36;00:00:36;interaction;clicking,item,tie
1_Video_3;19;00:00:39;00:00:39;interaction;clicking,save,outfit
1_Video_3;19;00:00:41;00:00:42;interaction;typing,text,input
1_Video_3;19;00:00:42;00:00:42;interaction;clicking,save,name
1_Video_3;19;00:00:51;00:00:51;interaction;clicking,icon,workpace
1_Video_3;19;00:00:51;00:00:55;mainmenu;modal,workplace
1_Video_3;19;00:00:53;00:00:53;interaction;clicking,collecting,money
1_Video_3;19;00:00:55;00:00:55;interaction;modal,closing
1_Video_4;19;00:00:00;00:00:17;locationstay;market
1_Video_4;19;00:00:00;00:00:00;interaction;clicking,item
1_Video_4;19;00:00:00;00:00:00;mainmenu;modal,buy,item
1_Video_4;19;00:00:01;00:00:01;interaction;clicking,buying,item
1_Video_4;19;00:00:06;00:00:06;interaction;clicking,contextmenu,cancel
1_Video_4;19;00:00:08;00:00:09;interaction;clicking,contextmenu,feed
1_Video_4;19;00:00:11;00:00:16;interaction;cat,eating
1_Video_4;19;00:00:18;00:00:20;loadingscreen;leaving,market
1_Video_4;19;00:00:21;00:00:49;locationstay;uncertainty
1_Video_4;19;00:00:27;00:00:27;mainmenu;modal,backpack
1_Video_4;19;00:00:31;00:00:31;interaction;backpack,closing
1_Video_4;19;00:00:34;00:00:34;interaction;clicking,cat
1_Video_4;19;00:00:35;00:00:35;interaction;clicking,contextmenu,lifting
1_Video_4;19;00:00:36;00:01:00;interaction;carrying,cat
1_Video_4;19;00:00:40;00:00:41;mainmenu;modal,partyrequest
1_Video_4;19;00:00:41;00:00:41;interaction;denying,partyrequest
1_Video_4;19;00:00:49;00:00:51;loadingscreen;entering,house
1_Video_4;19;00:00:51;00:01:00;locationstay;house
1_Video_4;19;00:00:58;00:00:59;interaction;putting,cat,bed
1_Video_5;19;00:00:00;00:00:24;locationstay;inside,building,pizzeria
1_Video_5;19;00:00:02;00:00:02;mainmenu;modal,check
1_Video_5;19;00:00:03;00:00:03;interaction;clicking,cashout
1_Video_5;19;00:00:12;00:00:12;mainmenu;modal,check
1_Video_5;19;00:00:13;00:00:13;interaction;clicking,cashout
1_Video_5;19;00:00:20;00:00:20;interaction;clicking,houseicon
1_Video_5;19;00:00:20;00:00:22;mainmenu;modal,houses
1_Video_5;19;00:00:22;00:00:22;interaction;clicking,buy,house
1_Video_5;19;00:00:24;00:00:27;teleport;
1_Video_5;19;00:00:27;00:00:33;locationstay;house,property
1_Video_5;19;00:00:33;00:00:59;locationstay;inside,building,pizzeria
1_Video_5;19;00:00:35;00:00:35;interaction;clicking,bucket
1_Video_5;19;00:00:46;00:00:46;interaction;clicking,picture
1_Video_5;19;00:00:46;00:00:51;mainmenu;store
1_Video_5;19;00:00:47;00:00:47;mainmenu;modal,emojis
1_Video_5;19;00:00:49;00:00:49;interaction;clicking,closing,modal
1_Video_5;19;00:00:51;00:00:51;interaction;clicking,closing,store
1_Video_6;19;00:00:00;00:01:38;locationstay;inside,building,pizzeria
1_Video_6;19;00:00:09;00:00:09;interaction;clicking,morph
1_Video_6;19;00:00:09;00:00:13;mainmenu;modal,morph,animals
1_Video_6;19;00:00:11;00:00:11;interaction;clicking,morph,rat
1_Video_6;19;00:00:13;00:00:13;mainmenu;modal,buy,currency
1_Video_6;19;00:00:14;00:00:14;interaction;clicking,close,modal
1_Video_6;19;00:00:16;00:00:16;interaction;changing,clothes,becoming,cook
1_Video_6;19;00:00:32;00:00:34;interaction;grabbing,pizza,topping,ingredients
1_Video_6;19;00:00:34;00:00:34;interaction;place,pizza,topping,ingredients,table
1_Video_6;19;00:00:35;00:00:37;interaction;grabbing,pizza,topping,ingredients
1_Video_6;19;00:00:37;00:00:37;interaction;place,pizza,topping,ingredients,dough
1_Video_6;19;00:00:38;00:00:44;interaction;grabbing,placing,pizza,toppings,ingredients
1_Video_6;19;00:00:44;00:00:44;mainmenu;modal,kick,player
1_Video_6;19;00:00:47;00:00:47;interaction;closing,modal
1_Video_6;19;00:00:47;00:00:53;interaction;grabbing,placing,pizza,toppings,ingredients
1_Video_6;19;00:00:54;00:00:55;interaction;grabbing,soda,can
1_Video_6;19;00:00:55;00:00:55;interaction;placing,soda,can,table
1_Video_6;19;00:00:55;00:00:57;interaction;grabbing,soda,can
1_Video_6;19;00:00:57;00:00:57;interaction;placing,soda,can,conveyor,belt
1_Video_6;19;00:00:58;00:01:02;interaction;grabbing,placing,pizza,toppings,ingredients
1_Video_6;19;00:01:02;00:01:07;interaction;grabbing,placing,pizza
1_Video_6;19;00:01:11;00:01:11;interaction;opening,oven,door
1_Video_6;19;00:01:13;00:01:17;interaction;opening,oven
1_Video_6;19;00:01:18;00:01:32;interaction;burning
1_Video_6;19;00:01:32;00:01:32;interaction;clicking,opening,fire-extinguisher,cabinet
1_Video_6;19;00:01:33;00:01:33;interaction;dying
1_Video_6;19;00:01:33;00:01:37;interaction;laying,dead
1_Video_6;19;00:01:37;00:01:38;interaction;respawning
1_Video_7;19;00:00:00;00:00:50;locationstay;inside,building,pizzeria
1_Video_7;19;00:00:00;00:00:02;dialog;talking,avatar
1_Video_7;19;00:00:05;00:00:08;dialog;avatar,questionmark
1_Video_7;19;00:00:11;00:00:13;dialog;avatar,questionmark
1_Video_7;19;00:00:13;00:00:13;interaction;clicking,talking,avatar,speechbubble
1_Video_7;19;00:00:17;00:00:17;interaction;selecting,text
1_Video_7;19;00:00:17;00:00:17;dialog;talking,avatar,order,pizza,questiton
1_Video_7;19;00:00:19;00:00:23;dialog;talking,avatar,order,pizza,answer
