Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
8_Video_ 1;22;00:00:00;00:00:38;interaction;roaming
8_Video_ 1;22;00:00:00;00:00:13;locationstay;outside,road
8_Video_ 1;22;00:00:13;00:00:15;locationstay;house
8_Video_ 1;22;00:00:15;00:00:21;locationstay;outside,road
8_Video_ 1;22;00:00:21;00:00:28;locationstay;gallery,art
8_Video_ 1;22;00:00:28;00:00:34;locationstay;outside,road
8_Video_ 1;22;00:00:34;00:01:06;locationstay;gallery,art
8_Video_ 1;22;00:00:38;00:00:47;interaction;looking,art
8_Video_ 1;22;00:00:38;00:00:44;loadingscreen;art,details
8_Video_ 1;22;00:00:47;00:00:48;interaction;roaming
8_Video_ 1;22;00:00:48;00:00:55;interaction;looking,art
8_Video_ 1;22;00:00:48;00:00:54;loadingscreen;art,details
8_Video_ 1;22;00:00:54;00:00:59;interaction;roaming
8_Video_ 1;22;00:00:59;00:01:06;interaction;looking,art
8_Video_ 1;22;00:00:39;00:00:44;loadingscreen;box,white
8_Video_ 1;22;00:00:48;00:00:54;loadingscreen;box,white
8_Video_ 1;22;00:00:59;00:01:04;loadingscreen;box,white
8_Video_ 1;22;00:00:59;00:01:04;loadingscreen;art,details
8_Video_ 2;22;00:00:00;00:00:02;locationstay;outside,road
8_Video_ 2;22;00:00:02;00:00:39;locationstay;booth,crypto
8_Video_ 2;22;00:00:39;00:01:01;locationstay;outside,road
8_Video_ 2;22;00:00:00;00:00:02;interaction ;roaming
8_Video_ 2;22;00:00:02;00:00:27;interaction;view,video,crypto
8_Video_ 2;22;00:00:27;00:00:29;interaction;roaming
8_Video_ 2;22;00:00:29;00:00:31;interaction;details,box,telegram
8_Video_ 2;22;00:00:31;00:00:32;interaction;roaming
8_Video_ 2;22;00:00:32;00:00:36;interaction;looking,crypto
8_Video_ 2;22;00:00:34;00:00:36;interaction;details,crypto
8_Video_ 2;22;00:00:36;00:01:01;interaction;roaming
8_Video_ 3;22;00:00:00;00:00:01;locationstay;outside,road
8_Video_ 3;22;00:00:01;00:00:12;locationstay;lobby,game
8_Video_ 3;22;00:00:12;00:00:14;loadingscreen;loading
8_Video_ 3;22;00:00:14;00:00:26;locationstay;lobby,game,racing
8_Video_ 3;22;00:00:26;00:00:40;loadingscreen;white
8_Video_ 3;22;00:00:40;00:01:24;locationstay;game,racing,car
8_Video_ 3;22;00:00:00;00:00:10;interaction;roaming
8_Video_ 3;22;00:00:01;00:00:06;interaction;looking,racing
8_Video_ 3;22;00:00:02;00:00:04;interaction;details,racing
8_Video_ 3;22;00:00:06;00:00:07;interaction;roaming
8_Video_ 3;22;00:00:07;00:00:12;interaction;looking,racing
8_Video_ 3;22;00:00:09;00:00:12;interaction;details,racing
8_Video_ 3;22;00:00:15;00:00:18;interaction;waiting
8_Video_ 3;22;00:00:18;00:00:23;interaction;roaming
8_Video_ 3;22;00:00:23;00:00:25;interaction;looking,racing
8_Video_ 3;22;00:00:24;00:00:25;interaction;details,racing
8_Video_ 3;22;00:00:40;00:01:11;interaction;car,waiting
8_Video_ 3;22;00:01:02;00:01:05;interaction;tutorial,control
8_Video_ 3;22;00:01:11;00:01:24;interaction;car,driving
8_Video_ 4;22;00:00:00;00:00:05;locationstay;lobby,game,racing
8_Video_ 4;22;00:00:05;00:00:19;loadingscreen;loading
8_Video_ 4;22;00:00:19;00:01:04;locationstay;game,racing,running
8_Video_ 4;22;00:00:00;00:00:03;interaction;roaming
8_Video_ 4;22;00:00:03;00:00:05;interaction;looking,racing
8_Video_ 4;22;00:00:04;00:00:05;interaction;details,racing
8_Video_ 4;22;00:00:19;00:00:22;interaction;roaming
8_Video_ 4;22;00:00:22;00:00:24;interaction;looking,start
8_Video_ 4;22;00:00:23;00:00:23;interaction;activating
8_Video_ 4;22;00:00:23;00:00:29;interaction;waiting
8_Video_ 4;22;00:00:29;00:01:04;interaction;racing,running
8_Video_ 5;22;00:00:00;00:00:18;locationstay;lobby,game
8_Video_ 5;22;00:00:18;00:00:31;loadingscreen;loading
8_Video_ 5;22;00:00:31;00:01:01;locationstay;game,racing,car
8_Video_ 5;22;00:00:00;00:00:04;interaction;looking,racing
8_Video_ 5;22;00:00:01;00:00:03;interaction;details,racing
8_Video_ 5;22;00:00:04;00:00:15;interaction;roaming
8_Video_ 5;22;00:00:15;00:00:18;interaction;looking,racing
8_Video_ 5;22;00:00:16;00:00:18;interaction;details,racing
8_Video_ 5;22;00:00:31;00:00:43;interaction;waiting
8_Video_ 5;22;00:00:43;00:01:01;interaction;car,driving
8_Video_ 6;22;00:00:00;00:00:20;locationstay;outside,road
8_Video_ 6;22;00:00:20;00:00:26;locationstay;building,lobby
8_Video_ 6;22;00:00:26;00:00:33;locationstay;outside,road
8_Video_ 6;22;00:00:33;00:00:37;locationstay;building,lobby
8_Video_ 6;22;00:00:37;00:00:42;locationstay;outside,road
8_Video_ 6;22;00:00:42;00:00:46;locationstay;building,lobby
8_Video_ 6;22;00:00:46;00:00:57;locationstay;outside,road
8_Video_ 6;22;00:00:57;00:01:00;locationstay;building,lobby
8_Video_ 6;22;00:00:00;00:01:00;interaction;roaming
8_Video_ 7;22;00:00:00;00:01:00;locationstay;outside,park
8_Video_ 7;22;00:00:00;00:00:03;interaction;roaming
8_Video_ 7;22;00:00:03;00:00:07;interaction;looking,billboard,dress
8_Video_ 7;22;00:00:04;00:00:07;interaction;details,billboard,dress
8_Video_ 7;22;00:00:08;00:00:12;interaction;looking,billboard,dress
8_Video_ 7;22;00:00:09;00:00:11;interaction;details,billboard,dress
8_Video_ 7;22;00:00:11;00:00:13;interaction;roaming
8_Video_ 7;22;00:00:13;00:00:23;interaction;looking,sign,pot
8_Video_ 7;22;00:00:14;00:00:22;interaction;details,sign,pot
8_Video_ 7;22;00:00:22;00:00:24;interaction;roaming
8_Video_ 7;22;00:00:24;00:00:34;interaction;looking,sign,pot
8_Video_ 7;22;00:00:25;00:00:34;interaction;details,sign,pot
8_Video_ 7;22;00:00:14;00:00:21;loadingscreen;box,white
