Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information
5_TS_1;15;00:00:00;00:02:10;locationstay;walking,meadow
5_TS_1;15;00:00:09;00:00:17;interaction;entering,lava,swimming
5_TS_1;15;00:00:18;00:00:30;interaction;entering,water,swimming
5_TS_1;15;00:00:36;00:00:38;interaction;walking,jumping,wall,stopping
5_TS_1;15;00:00:41;00:00:43;interaction;walking,stone
5_TS_1;15;00:00:44;00:00:49;interaction;walking,jumping,car,stopping
5_TS_1;15;00:00:57;00:00:59;interaction;moving
5_TS_1;15;00:01:39;00:01:47;locationstay;walking,jumping
5_TS_1;15;00:01:48;00:01:51;locationstay;jumping
5_TS_1;15;00:01:52;00:02:03;locationstay;jumping
5_TS_2;15;00:00:00;00:02:44;locationstay;walking,meadow
5_TS_2;15;00:00:07;00:00:09;interaction;walking,bicycle
5_TS_2;15;00:00:31;00:00:32;interaction;moving
5_TS_2;15;00:00:41;00:00:42;interaction;choping
5_TS_2;15;00:00:49;00:00:51;locationstay;stone
5_TS_2;15;00:00:51;00:00:55;locationstay;car
5_TS_2;15;00:01:03;00:01:20;interaction;fighting
5_TS_2;15;00:01:25;00:01:30;interaction;hiting
5_TS_2;15;00:01:38;00:01:44;interaction;walking,bus
5_TS_2;15;00:01:57;00:02:03;locationstay;tower
5_TS_2;15;00:02:09;00:02:14;interaction;hiting
5_TS_2;15;00:02:23;00:02:37;interaction;running,monster
5_TS_2;15;00:02:38;00:02:44;interaction;fighting,killing,monster
5_TS_3;15;00:00:00;00:01:51;locationstay;shopping street
5_TS_3;15;00:00:07;00:00:16;dialog;talking,avatar
5_TS_3;15;00:00:28;00:00:47;interaction;killing,warriors
5_TS_3;15;00:00:48;00:00:49;interaction;opening,door
5_TS_3;15;00:00:57;00:00:59;dialog;beggar
5_TS_3;15;00:01:27;00:01:49;interaction;killing,warriors
5_TS_3;15;00:01:50;00:01:51;interaction;collecting,drops
5_TS_4;15;00:00:00;00:01:51;locationstay;meadow
5_TS_4;15;00:00:40;00:00:41;interaction;hiting,wolf
5_TS_4;15;00:00:42;00:00:46;locationstay;stone
5_TS_4;15;00:00:47;00:00:50;interaction;entering,lava,swimming
5_TS_4;15;00:00:54;00:01:16;interaction;entering,lava,swimming
5_TS_4;15;00:01:46;00:01:51;interaction;entering,lava,swimming
5_TS_5;15;00:00:00;00:02:12;locationstay;fantasy,land
5_TS_5;15;00:00:18;00:00:22;teleport;teleporting,back
5_TS_5;15;00:00:23;00:00:32;locationstay;fantasy,land
5_TS_5;15;00:00:33;00:00:34;interaction;opening door
5_TS_5;15;00:00:35;00:01:04;locationstay;alien mall
5_TS_5;15;00:01:04;00:01:15;dialog;info
5_TS_5;15;00:01:15;00:01:24;locationstay;alien mall
5_TS_5;15;00:01:25;00:01:35;locationstay;fantasy land
5_TS_5;15;00:01:36;00:02:12;interaction;swimming,walking,water
5_TS_6;15;00:00:00;00:01:58;location stay;white,track
5_TS_6;15;00:00:26;00:00:32;location stay;fire
5_TS_6;15;00:00:37;00:00:38;interaction;jumping,falling
5_TS_6;15;00:00:57;00:00:59;interaction;diving
5_TS_6;15;00:01:00;00:01:01;teleport;teleporting
5_TS_6;15;00:01:58;00:02:14;location stay;room with wizard
5_TS_7;15;00:00:00;00:02:32;location stay;cave
5_TS_7;15;00:00:17;00:00:28;dialog;talking,avatar
5_TS_7;15;00:00:28;00:00:29;interaction;collecting,pickaxe
5_TS_7;15;00:00:30;00:00:41;location stay;cave
5_TS_7;15;00:00:42;00:00:55;mainmanu;checking,inventory
5_TS_7;15;00:00:56;00:01:32;location stay;cave
5_TS_7;15;00:01:33;00:01:37;mainmenu;equiping,pickaxe
5_TS_7;15;00:01:51;00:01:53;mainmenu;eqiup,backpack
5_TS_7;15;00:02:15;00:02:21;interaction;using,pickaxe
5_TS_7;15;00:02:33;00:02:34;teleport;teleport,Icefall
5_TS_7;15;00:02:35;00:02:43;location stay;Icefall
5_TS_7;15;00:00:00;00:02:33;interaction;constant loss of life
5_TS_8;15;00:00:00;00:00:17;location stay;castle
5_TS_8;15;00:00:18;00:00:19;interaction;opening,door
5_TS_8;15;00:00:20;00:01:38;location stay;castle
5_TS_8;15;00:01:38;00:01:43;dialog;creator,info
5_TS_8;15;00:01:44;00:02:01;location stay;castle
5_TS_8;15;00:02:02;00:02:07;interaction;picking,word
5_TS_8;15;00:02:08;00:02:19;mainmenu;uncertainty
5_TS_9;15;00:00:00;00:00:14;location stay;maedow
5_TS_9;15;00:00:15;00:00:29;interaction;entering,water,swimming
5_TS_9;15;00:00:30;00:00:54;location stay;maedow
5_TS_9;15;00:00:55;00:01:16;location stay;village
5_TS_9;15;00:01:17;00:01:18;location stay;maedow
5_TS_9;15;00:01:19;00:01:20;interaction;running
5_TS_9;15;00:01:21;00:01:23;location stay;maedow
5_TS_9;15;00:01:24;00:01:25;interaction;running
5_TS_9;15;00:01:25;00:01:27;interaction;running,npc
5_TS_9;15;00:01:28;00:01:35;location stay;maedow
5_TS_9;15;00:01:36;00:01:40;interaction;running
5_TS_9;15;00:01:41;00:01:43;location stay;village
5_TS_9;15;00:01:44;00:01:45;teleport;teleporting,maedow
5_TS_9;15;00:01:46;00:01:54;location stay;maedow
5_TS_9;15;00:01:55;00:02:20;location stay;village
