Video;Metaverse name;Editor;Frame (from);Frame (to, optional);Action;Relevant Objects;Description
12_Video_1.mp4;Unreal;12;00:21:00;00:26:00;A10;avatar, HUD;tutorial for teleport
12_Video_1.mp4;Unreal;12;00:27:00;;A7;avatar ;teleport on balcony
12_Video_1.mp4;Unreal;12;00:32:00;00:36:00;A10;avatar, HUD;tutorial quickturn
12_Video_1.mp4;Unreal;12;00:37:00;;A8;avatar;quickturn right 45 degrees
12_Video_1.mp4;Unreal;12;00:38:00;;A8;avatar;quickturn right 45 degrees
12_Video_1.mp4;Unreal;12;00:42:00;;A8;avatar;quickturn left 45 degrees
12_Video_1.mp4;Unreal;12;00:43:00;;A8;avatar;quickturn left 45 degrees
12_Video_1.mp4;Unreal;12;00:52:00;00:53:00;A6;avatar, radio antenna;pulling out radio antenna
12_Video_1.mp4;Unreal;12;01:00:00;01:05:00;A6;avatar, radio dial;turning radio dial
12_Video_1.mp4;Unreal;12;01:07:00;01:09:00;A1;avatar;walking along balcony
12_Video_1.mp4;Unreal;12;01:10:00;01:19:00;A6;avatar, soda can;grabbing and throwing soda can 
12_Video_1.mp4;Unreal;12;01:23:00;01:26:00;A6;avatar, soda can;grabbing and dropping soda can 
12_Video_1.mp4;Unreal;12;01:28:00;01:31:00;A6;avatar, tape roll;grabbing and dropping tape roll
12_Video_1.mp4;Unreal;12;01:33:00;01:39:00;A6;avatar, cardboard box;grabbing and dropping cardboard box
12_Video_1.mp4;Unreal;12;01:41:00;01:50:00;A6;avatar, watering can;grabbing watering can and throwing it over balcony railing
12_Video_1.mp4;Unreal;12;01:43:00;01:46:00;A6;avatar, soda can;grabbing soda can and dropping it into watering can
12_Video_1.mp4;Unreal;12;01:52:00;01:54:00;A6;avatar, beer bottle;grabbing beer bottle and throwing it on the floor
12_Video_1.mp4;Unreal;12;02:01:00;;A7;avatar;teleport on balcony
12_Video_1.mp4;Unreal;12;02:04:00;02:07:00;A1;avatar;walking along balcony
12_Video_1.mp4;Unreal;12;02:09:00;02:13:00;A2;avatar, balcony railing;walking against balcony railing
12_Video_1.mp4;Unreal;12;02:13:00;02:15:00;A8;avatar;manual turning 180 degrees
12_Video_1.mp4;Unreal;12;02:17:00;;A8;avatar;quickturn left 45 degrees
12_Video_1.mp4;Unreal;12;02:21:00;;A7;avatar;teleport on balcony
12_Video_1.mp4;Unreal;12;02:22:00;02:24:00;A1;avatar;walking along balcony
12_Video_1.mp4;Unreal;12;02:24:00;02:27:00;A6;avatar, glas bottle;grabbing and dropping glas bottle
12_Video_1.mp4;Unreal;12;02:28:00;02:36:00;A6;avatar, wooden crate;grabbing wooden crate, turning it upside down and dropping it
12_Video_1.mp4;Unreal;12;02:41:00;02:43:00;A4;avatar;waving with right hand
12_Video_1.mp4;Unreal;12;02:44:00;02:46:00;A4;avatar;waving with left hand
12_Video_1.mp4;Unreal;12;02:49:00;;A8;avatar;quickturn left 45 degrees
12_Video_1.mp4;Unreal;12;02:53:00;;A7;avatar;teleport on balcony
12_Video_1.mp4;Unreal;12;02:57:00;02:59:00;A8;avatar;manual turning 180 degrees
12_Video_1.mp4;Unreal;12;02:59:00;03:01:00;A1;avatar;walking along balcony
12_Video_1.mp4;Unreal;12;03:01:00;03:02:00;A8;avatar;manual turning 180 degrees
12_Video_1.mp4;Unreal;12;03:04:00;;A7;avatar;teleport onto stairs
12_Video_1.mp4;Unreal;12;03:07:00;;A7;avatar;teleport onto pedestal
12_Video_1.mp4;Unreal;12;03:09:00;03:10:00;A4;avatar;waving with right hand
12_Video_1.mp4;Unreal;12;03:12:00;;A7;avatar;teleport on pedestal
12_Video_1.mp4;Unreal;12;03:14:00;03:15:00;A6;avatar, plastic bottle;grabbing plastic bottle and throwing it onto gutter
12_Video_2.mp4;Unreal;12;00:03:00;;A7;avatar;teleport into conservatory
12_Video_2.mp4;Unreal;12;00:03:00;;A3;avatar;entering conservatory
12_Video_2.mp4;Unreal;12;00:09:00;;A7;avatar;teleport inside conservatory
12_Video_2.mp4;Unreal;12;00:12:00;;A8;avatar;quickturn right 45 degrees
12_Video_2.mp4;Unreal;12;00:15:00;;A7;avatar;teleport inside conservatory
12_Video_2.mp4;Unreal;12;00:16:00;00:17:00;A1;avatar;walking inside conservatory
12_Video_2.mp4;Unreal;12;00:17:00;00:20:00;A8;avatar;manual turning 180 degrees
12_Video_2.mp4;Unreal;12;00:21:00;;A7;avatar;teleport inside conservatory
12_Video_2.mp4;Unreal;12;00:22:00;00:24:00;A1;avatar;walking inside conservatory towards shelf
12_Video_2.mp4;Unreal;12;00:27:00;00:53:00;A6;avatar, red whiteboard marker;grabbing red whiteboard marker
12_Video_2.mp4;Unreal;12;00:30:00;00:32:00;A1;avatar;walking from shelf to window
12_Video_2.mp4;Unreal;12;00:33:00;00:35:00;A6;red whiteboard marker, window;"writing letter ""H"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:35:00;00:36:00;A6;red whiteboard marker, window;"writing letter ""e"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:37:00;00:38:00;A6;red whiteboard marker, window;"writing letter ""l"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:38:00;00:39:00;A6;red whiteboard marker, window;"writing letter ""l"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:40:00;00:40:00;A6;red whiteboard marker, window;"writing letter ""o"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:41:00;00:42:00;A6;red whiteboard marker, window;"writing letter ""w"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:42:00;00:43:00;A6;red whiteboard marker, window;"writing letter ""o"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:43:00;00:44:00;A6;red whiteboard marker, window;"writing letter ""r"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:45:00;00:45:00;A6;red whiteboard marker, window;"writing letter ""l"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:46:00;00:47:00;A6;red whiteboard marker, window;"writing letter ""d"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:47:00;00:49:00;A6;red whiteboard marker, window;"writing ""!"" with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:50:00;00:51:00;A6;red whiteboard marker, window;"drawing ""wink smiley"" ;-)  with red whiteboard marker on window"
12_Video_2.mp4;Unreal;12;00:51:00;00:53:00;A1;avatar;walking from window to shelf
12_Video_2.mp4;Unreal;12;00:54:00;;A6;avatar, whiteboard eraser;grabbing whiteboard eraser
12_Video_2.mp4;Unreal;12;00:55:00;00:56:00;A1;avatar;walking from shelf to window
12_Video_2.mp4;Unreal;12;;;;;
12_Video_2.mp4;Unreal;12;00:56:00;01:00:00;A6;whiteboard eraser, window;"erasing ""wink smiley"" ;-)  with whiteboard eraser from window"
12_Video_2.mp4;Unreal;12;01:01:00;01:03:00;A6;whiteboard eraser, window;"erasing ""!"" with whiteboard eraser from window"
12_Video_2.mp4;Unreal;12;01:03:00;01:04:00;A1;avatar;walking from window to shelf
12_Video_2.mp4;Unreal;12;01:05:00;01:10:00;A6;avatar, green whiteboard marker;grabbing green whiteboard marker
12_Video_2.mp4;Unreal;12;01:07:00;01:08:00;A6;green whiteboard marker, window;"writing ""?"" with green whiteboard marker on window"
