Video;Metaverse name;Editor;Timestamp (from);Timestamp (to);Action;Relevant Objects;Description
11_Video_1;Minecraft;11;00:01:00;;A2;avatar, fence gate;walking against closed fence gate
11_Video_1;Minecraft;11;00:02:00;;A6;avatar, fence gate;opening fence gate
11_Video_1;Minecraft;11;00:03:00;;A1;avatar, fence gate;walking through open fence gate
11_Video_1;Minecraft;11;00:03:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:04:00;;A6;avatar, fence gate;closing fence gate
11_Video_1;Minecraft;11;00:04:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:05:00;;A1;avatar, building;walking around building to entrance door
11_Video_1;Minecraft;11;00:08:00;;A6;avatar, door;opening entrance door
11_Video_1;Minecraft;11;00:08:00;;A3;avatar, building;entering building
11_Video_1;Minecraft;11;00:09:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:10:00;;A6;avatar, door;closing door
11_Video_1;Minecraft;11;00:10:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:10:00;;A1;avatar, furnace;walking towards furnace
11_Video_1;Minecraft;11;00:12:00;;A6;avatar, furnace, inventory;taking cooked beef from furnace to inventory
11_Video_1;Minecraft;11;00:16:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:18:00;;A6;avatar, crafting table, inventory;crafting axe with materials from inventory
11_Video_1;Minecraft;11;00:27:00;;A1;avatar, door;walking towards door
11_Video_1;Minecraft;11;00:28:00;;A6;avatar, door;opening door
11_Video_1;Minecraft;11;00:29:00;;A1;avatar;leaving building
11_Video_1;Minecraft;11;00:29:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:30:00;;A6;avatar, door;closing door
11_Video_1;Minecraft;11;00:30:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:30:00;;A1;avatar;walking through world
11_Video_1;Minecraft;11;00:33:00;;A8;avatar;turning around
11_Video_1;Minecraft;11;00:33:00;;A1;avatar;walking through world
11_Video_1;Minecraft;11;00:39:00;;A9;avatar;stops then keeps walking
11_Video_1;Minecraft;11;00:43:00;;A8;avatar, tree;changing direction to not walk into tree
11_Video_1;Minecraft;11;00:44:00;;A8;avatar, tree;changing direction to not walk into tree
11_Video_1;Minecraft;11;00:46:00;;A8;avatar;changing direction to avoid tree and water
11_Video_1;Minecraft;11;00:49:00;;A8;avatar;chaning direction
11_Video_1;Minecraft;11;00:57:00;;A11;avatar;swimming through world
11_Video_2;Minecraft;11;00:00:00;;A6;avatar tree;chopping tree
11_Video_2;Minecraft;11;00:07:00;;A8;avatar;turning around
11_Video_2;Minecraft;11;00:08:00;;A1;avatar;walking through world
11_Video_2;Minecraft;11;00:09:00;;A8;avatar;changing direction
11_Video_2;Minecraft;11;00:19:00;;A9;avatar;stops then keeps walking
11_Video_2;Minecraft;11;00:26:00;;A8;avatar;changing direction
11_Video_2;Minecraft;11;00:33:00;;A9;avatar;stops then keeps walking
11_Video_2;Minecraft;11;00:37:00;;A8;avatar, tree;changing direction to walk around tree
11_Video_2;Minecraft;11;00:47:00;00:55:00;A8;avatar;changing direction several times to walk around trees
11_Video_2;Minecraft;11;00:57:00;;A1;avatar, building;walking towards building
11_Video_2;Minecraft;11;01:03:00;;A6;avatar, door;opening door
11_Video_2;Minecraft;11;01:03:00;;A3;avatar, building;entering building
11_Video_2;Minecraft;11;01:03:00;;A8;avatar;turning around
11_Video_2;Minecraft;11;01:04:00;;A6;avatar, door;closing door
11_Video_2;Minecraft;11;01:05:00;;A8;avatar;turning around
11_Video_2;Minecraft;11;01:06:00;;A6;avatar, chest, inventory;opening chest, putting items from inventory in chest
11_Video_2;Minecraft;11;01:15:00;;A8;avatar;turning around
11_Video_2;Minecraft;11;01:16:00;;A1;avatar, crafting table;walking towards crafting table
11_Video_2;Minecraft;11;01:17:00;;A6;avatar, crafting table, inventory;crafting with materials from inventory
11_Video_3;Minecraft;11;00:00:00;;A1;avatar;walking through world
11_Video_3;Minecraft;11;00:02:00;;A8;avatar;changing direction
11_Video_3;Minecraft;11;00:02:00;;A1;avatar, building;walking towards building
11_Video_3;Minecraft;11;00:04:00;;A6;avatar, door;opening door
11_Video_3;Minecraft;11;00:04:00;;A3;avatar, building;entering building
11_Video_3;Minecraft;11;00:05:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:06:00;;A6;avatar, door;closing door
11_Video_3;Minecraft;11;00:07:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:09:00;;A6;avatar, bed;clicking bed
11_Video_3;Minecraft;11;00:10:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:15:00;;A6;avatar, door;opening door
11_Video_3;Minecraft;11;00:19:00;;A1;avatar, door;moving towards door
11_Video_3;Minecraft;11;00:20:00;;A6;avatar, door;closing door
11_Video_3;Minecraft;11;00:21:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:22:00;;A6;avatar,bed;laying into bed
11_Video_3;Minecraft;11;00:28:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:29:00;;A6;avatar, door;opening door
11_Video_3;Minecraft;11;00:29:00;;A1;avatar;leaving building
11_Video_3;Minecraft;11;00:30:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:31:00;;A6;avatar;closing door
11_Video_3;Minecraft;11;00:32:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:32:00;;A1;avatar;walking through world
11_Video_3;Minecraft;11;00:34:00;;A8;avatar;changing direction
11_Video_3;Minecraft;11;00:39:00;;A8;avatar;changing direction
11_Video_3;Minecraft;11;00:39:00;;A1;avatar, building;walking towards building
11_Video_3;Minecraft;11;00:41:00;;A6;avatar, door;opening door
11_Video_3;Minecraft;11;00:41:00;;A3;avatar, building;entering building
11_Video_3;Minecraft;11;00:42:00;;A8;avatar;turning around
11_Video_3;Minecraft;11;00:43:00;;A6;avatar, door;closing door
11_Video_3;Minecraft;11;00:44:00;;A6;avatar, crafting table, inventory;crafting pickaxe with materials from inventory
11_Video_3;Minecraft;11;00:54:00;;A6;avatar, door;opening door
11_Video_3;Minecraft;11;00:55:00;;A1;avatar;leaving building and walking through world
11_Video_3;Minecraft;11;01:06:00;;A9;avatar;stops then keeps walking
11_Video_3;Minecraft;11;01:12:00;;A8;avatar;changing direction
11_Video_3;Minecraft;11;01:28:00;;A2;avatar, tree;walking into tree
11_Video_3;Minecraft;11;01:29:00;;A8;avatar,tree;changing direction to walk around tree
11_Video_3;Minecraft;11;01:39:00;;A6;avatar, tree;chopping tree
11_Video_3;Minecraft;11;01:45:00;;A1;avatar;walking through world
11_Video_3;Minecraft;11;01:59:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:02:00;;A1;avatar, building;walking towards building
11_Video_4;Minecraft;11;00:09:00;;A6;avatar, door;opening door
11_Video_4;Minecraft;11;00:09:00;;A3;avatar, building;entering building
11_Video_4;Minecraft;11;00:10:00;;A6;avatar, chest, inventory;opening chest, moving objects from chest to inventory
11_Video_4;Minecraft;11;00:21:00;;A1;avatar;walking through house
11_Video_4;Minecraft;11;00:22:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:23:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:25:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:26:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:28:00;;A6;avatar, door;opening door
11_Video_4;Minecraft;11;00:29:00;;A1;avatar;stepping on balcony
11_Video_4;Minecraft;11;00:31:00;;A8;avatar;turning around
11_Video_4;Minecraft;11;00:33:00;;A1;avatar, building;entering building
11_Video_4;Minecraft;11;00:33:00;;A8;avatar;turning around
11_Video_4;Minecraft;11;00:34:00;;A6;avatar, door;closing door
11_Video_4;Minecraft;11;00:35:00;;A8;avatar;turning around
11_Video_4;Minecraft;11;00:36:00;;A1;avatar;walking through building
11_Video_4;Minecraft;11;00:39:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:40:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:42:00;;A1;avatar;leaving building and walking through world
11_Video_4;Minecraft;11;00:47:00;;A8;avatar;changing direction
11_Video_4;Minecraft;11;00:50:00;;A9;avatar;stops then keeps walking
11_Video_4;Minecraft;11;00:53:00;;A8;avatar;changing direction
11_Video_5;Minecraft;11;00:01:00;;A1;avatar;walching through world
11_Video_5;Minecraft;11;00:04:00;;A6;avatar;opening chest
11_Video_5;Minecraft;11;00:06:00;;A1;avatar;walking through world
11_Video_5;Minecraft;11;00:14:00;;A8;avatar;turning around
11_Video_5;Minecraft;11;00:15:00;;A3;avatar, building;entering building
11_Video_5;Minecraft;11;00:15:00;;A1;avatar, chest;walking towards chest
11_Video_5;Minecraft;11;00:17:00;;A6;avatar, chest, inventory;moving objects from chest to inventory
11_Video_5;Minecraft;11;00:21:00;;A8;avatar;turning around
11_Video_5;Minecraft;11;00:22:00;;A1;avatar;walking towards door
11_Video_5;Minecraft;11;00:24:00;;A1;avatar;leaving building and walking through world
11_Video_5;Minecraft;11;00:24:00;;A8;avatar;changing direction
11_Video_5;Minecraft;11;00:41:00;;A8;avatar;changing direction
11_Video_5;Minecraft;11;00:45:00;;A8;avatar;changing direction
11_Video_5;Minecraft;11;00:47:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;00:00:00;;A1;avatar;walking through world towards buildings
11_Video_6;Minecraft;11;00:12:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;00:12:00;;A1;avatar, path;walking along path
11_Video_6;Minecraft;11;00:18:00;;A1;avatar, chest;walking towards chest
11_Video_6;Minecraft;11;00:20:00;;A6;avatar, chest;opening chest
11_Video_6;Minecraft;11;00:21:00;;A8;avatar;turning around
11_Video_6;Minecraft;11;00:22:00;;A1;avatar;walking through world
11_Video_6;Minecraft;11;00:24:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;00:24:00;;A1;avatar, path;walking along path
11_Video_6;Minecraft;11;00:31:00;;A6;avatar, chest;opening chest
11_Video_6;Minecraft;11;00:32:00;;A1;avatar;walking along path
11_Video_6;Minecraft;11;00:39:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;00:41:00;;A6;avatar, door;opening door
11_Video_6;Minecraft;11;00:41:00;;A3;avatar, building;entering building
11_Video_6;Minecraft;11;00:42:00;;A1;avatar, chest;walking towards chest
11_Video_6;Minecraft;11;00:42:00;;A6;avatar, chest, inventory;moving objects from chest to inventory
11_Video_6;Minecraft;11;00:46:00;;A8;avatar;turning around
11_Video_6;Minecraft;11;00:48:00;;A1;avatar;walking towards door
11_Video_6;Minecraft;11;00:49:00;;A1;avatar;leaving building and walking through world
11_Video_6;Minecraft;11;00:50:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;00:50:00;;A1;avatar;following path
11_Video_6;Minecraft;11;01:08:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;01:09:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;01:18:00;;A8;avatar;changing direction
11_Video_6;Minecraft;11;01:21:00;;A1;avatar;walking through castle gate
11_Video_6;Minecraft;11;01:27:00;;A9;avatar;stops then keeps walking
11_Video_6;Minecraft;11;01:36:00;;A3;avatar, castle;entering castle
11_Video_6;Minecraft;11;01:36:00;;A1;avatar;walking through dining room
11_Video_6;Minecraft;11;01:40:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;00:00:00;;A1;avatar;walking through world
11_Video_7;Minecraft;11;00:15:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;00:20:00;00:28:00;A9;avatar;stops to eat, then keeps walking
11_Video_7;Minecraft;11;00:34:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;00:34:00;;A1;avatar, portal;walking towards portal
11_Video_7;Minecraft;11;00:40:00;00:49:00;A7;avatar, portal;teleporting to Nether
11_Video_7;Minecraft;11;00:50:00;;A1;avatar;walking through Nether
11_Video_7;Minecraft;11;00:51:00;;A2;avatar, block;getting stuck at block
11_Video_7;Minecraft;11;00:55:00;;A8;avatar;turning around to fight ghast
11_Video_7;Minecraft;11;01:04:00;;A6;avatar, crafting table;placing crafting table
11_Video_7;Minecraft;11;01:05:00;;A6;avatar, crafting table, inventory;crafting chest with materials from inventory
11_Video_7;Minecraft;11;01:15:00;;A1;avatar;walkinh through Nether
11_Video_7;Minecraft;11;01:23:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;01:29:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;01:31:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;01:39:00;;A6;avatar, glowstone;mining glowstone
11_Video_7;Minecraft;11;01:54:00;;A8;avatar;turning around
11_Video_7;Minecraft;11;01:55:00;;A1;avatar;walking through Nether
11_Video_7;Minecraft;11;02:03:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;02:08:00;;A8;avatar;changing direction
11_Video_7;Minecraft;11;02:13:00;;A8;avatar;turning around
11_Video_7;Minecraft;11;02:13:00;;A1;avatar;walking towards crafting table
11_Video_7;Minecraft;11;02:18:00;;A6;avatar, crafting table, inventory;crafting glowstone with materials from inventory
11_Video_7;Minecraft;11;02:33:00;;A8;avatar;turning around
